"";"X";"model";"prompt_method";"Anno1";"Anno2_1";"Anno_2_2";"n";"count";"perc"
"1";1;"gpt-3.5-turbo";"conversation";"atyp";"utt_elab";NA;1;24;4,16666666666667
"2";2;"gpt-3.5-turbo";"conversation";"no_atyp";"reinforced-utt";NA;3;24;12,5
"3";3;"gpt-3.5-turbo";"conversation";"no_atyp";"sk";"reinforced-utt";1;24;4,16666666666667
"4";4;"gpt-3.5-turbo";"conversation";"no_atyp";"sk";NA;19;24;79,1666666666667
"5";5;"gpt-3.5-turbo";"conversation";NA;NA;NA;24;24;100
"6";6;"gpt-4";"conversation";"atyp";"utt_elab";NA;1;24;4,16666666666667
"7";7;"gpt-4";"conversation";"no_atyp";"reinforced-utt";NA;2;24;8,33333333333333
"8";8;"gpt-4";"conversation";"no_atyp";"sk";"reinforced-utt";5;24;20,8333333333333
"9";9;"gpt-4";"conversation";"no_atyp";"sk";NA;14;24;58,3333333333333
"10";10;"gpt-4";"conversation";"unclear";"atyp-reject";NA;1;24;4,16666666666667
"11";11;"gpt-4";"conversation";"unclear";"not-sure";NA;1;24;4,16666666666667
"12";12;"llama3_instruct";"conversation";"atyp";"noutt_concise";NA;1;24;4,16666666666667
"13";13;"llama3_instruct";"conversation";"atyp";"noutt_elab";NA;2;24;8,33333333333333
"14";14;"llama3_instruct";"conversation";"atyp";"utt_concise";NA;3;24;12,5
"15";15;"llama3_instruct";"conversation";"no_atyp";"normal";NA;2;24;8,33333333333333
"16";16;"llama3_instruct";"conversation";"no_atyp";"reinforced-utt";NA;2;24;8,33333333333333
"17";17;"llama3_instruct";"conversation";"no_atyp";"sk";"reinforced-utt";2;24;8,33333333333333
"18";18;"llama3_instruct";"conversation";"no_atyp";"sk";NA;8;24;33,3333333333333
"19";19;"llama3_instruct";"conversation";"unclear";"hallucinated-facts";NA;1;24;4,16666666666667
"20";20;"llama3_instruct";"conversation";"unclear";"incorrect-reasoning";NA;2;24;8,33333333333333
"21";21;"llama3_instruct";"conversation";"unclear";"other";NA;1;24;4,16666666666667
"22";22;"mixtral";"conversation";"no_atyp";"reinforced-utt";NA;1;24;4,16666666666667
"23";23;"mixtral";"conversation";"no_atyp";"sk";"reinforced-utt";1;24;4,16666666666667
"24";24;"mixtral";"conversation";"no_atyp";"sk";NA;20;24;83,3333333333333
"25";25;"mixtral";"conversation";"unclear";"not-sure";NA;1;24;4,16666666666667
"26";26;"mixtral";"conversation";"unclear";"other";NA;1;24;4,16666666666667
