"";"model";"anno_level1";"anno_level2_1";"anno_level2_2";"n";"count";"perc"
"1";"gpt-3.5-turbo";"atyp";"utt_concise";NA;6;44;13,6363636363636
"2";"gpt-3.5-turbo";"atyp";"utt_elab";NA;1;44;2,27272727272727
"3";"gpt-3.5-turbo";"no_atyp";"normal";NA;1;44;2,27272727272727
"4";"gpt-3.5-turbo";"no_atyp";"reinforced-utt";"sk";8;44;18,1818181818182
"5";"gpt-3.5-turbo";"no_atyp";"reinforced-utt";NA;8;44;18,1818181818182
"6";"gpt-3.5-turbo";"no_atyp";"sk";"normal";2;44;4,54545454545455
"7";"gpt-3.5-turbo";"no_atyp";"sk";"reinforced-utt";8;44;18,1818181818182
"8";"gpt-3.5-turbo";"no_atyp";"sk";NA;8;44;18,1818181818182
"9";"gpt-3.5-turbo";"unclear";"atyp-reject";NA;2;44;4,54545454545455
"10";"gpt-4";"atyp";"utt_concise";NA;18;44;40,9090909090909
"11";"gpt-4";"atyp";"utt_elab";NA;5;44;11,3636363636364
"12";"gpt-4";"no_atyp";"reinforced-utt";NA;1;44;2,27272727272727
"13";"gpt-4";"no_atyp";"sk";"reinforced-utt";1;44;2,27272727272727
"14";"gpt-4";"no_atyp";"sk";NA;5;44;11,3636363636364
"15";"gpt-4";"unclear";"atyp-reject";NA;12;44;27,2727272727273
"16";"llama3_instruct";"atyp";"utt_concise";NA;2;44;4,54545454545455
"17";"llama3_instruct";"atyp";"utt_elab";NA;1;44;2,27272727272727
"18";"llama3_instruct";"no_atyp";"normal";"reinforced-utt";2;44;4,54545454545455
"19";"llama3_instruct";"no_atyp";"normal";NA;1;44;2,27272727272727
"20";"llama3_instruct";"no_atyp";"reinforced-utt";"normal";2;44;4,54545454545455
"21";"llama3_instruct";"no_atyp";"reinforced-utt";"sk";15;44;34,0909090909091
"22";"llama3_instruct";"no_atyp";"reinforced-utt";NA;12;44;27,2727272727273
"23";"llama3_instruct";"no_atyp";"sk";"normal";1;44;2,27272727272727
"24";"llama3_instruct";"no_atyp";"sk";"reinforced-utt";3;44;6,81818181818182
"25";"llama3_instruct";"no_atyp";"sk";NA;2;44;4,54545454545455
"26";"llama3_instruct";"unclear";"atyp-reject";NA;1;44;2,27272727272727
"27";"llama3_instruct";"unclear";"other";NA;2;44;4,54545454545455
"28";"mixtral";"atyp";"utt_concise";NA;1;44;2,27272727272727
"29";"mixtral";"atyp";"utt_elab";NA;5;44;11,3636363636364
"30";"mixtral";"no_atyp";"normal";NA;1;44;2,27272727272727
"31";"mixtral";"no_atyp";"reinforced-utt";"normal";1;44;2,27272727272727
"32";"mixtral";"no_atyp";"reinforced-utt";"sk";1;44;2,27272727272727
"33";"mixtral";"no_atyp";"reinforced-utt";NA;7;44;15,9090909090909
"34";"mixtral";"no_atyp";"sk";"normal";1;44;2,27272727272727
"35";"mixtral";"no_atyp";"sk";"reinforced-utt";7;44;15,9090909090909
"36";"mixtral";"no_atyp";"sk";NA;6;44;13,6363636363636
"37";"mixtral";"unclear";"atyp-reject";NA;12;44;27,2727272727273
"38";"mixtral";"unclear";"other";"incorrect-reasoning";1;44;2,27272727272727
"39";"mixtral";"unclear";"other";NA;1;44;2,27272727272727
