"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,10,3,"AI",1,"100% of the time",100,"Thomas mentioning that Olivia used shampoo indicates it's not a given and might be unusual. However, since Olivia pays close attention to her hair, it is still likely she uses shampoo every time she washes it (which could be daily or less frequently).",NA,"high"
"2",1,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,10,5,"AI",1,"100% of the time",100,"Thomas mentioning that Olivia was ""washing"" her hair implies that she used shampoo. If it were not a regular occurrence, he would have simply said that she had wet or dirty hair.",NA,"high"
"3",2,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,11,3,"nan",1,"100% of the time",100,"Stella mentioning that Jared ""jumped out of the plane"" implies that it's an expected part of the skydiving course and not bringing this up would be unusual if he did not.",NA,"high"
"4",3,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,11,5,"nan",1,"100% of the time",100,"Stella mentioning that Jared jumped out of the plane suggests that it is an expected part of the skydiving course. If Jared did not always jump during his skydiving sessions, this would be a notable exception and something to comment on.",NA,"high"
"5",4,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,12,3,"AI",1,"100% of the time",100,"The fact that Steve felt the need to mention that Amy ""mailed"" the letter implies that she doesn't always mail letters immediately after writing them. If she did, this detail would not be worth mentioning. Therefore, it can be assumed that Amy mails her letters 100% of the time, but in this instance, Steve was emphasizing that she had already done so.",NA,"high"
"6",5,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,12,5,"AI",1,"100% of the time",100,"Steve mentioning that Amy used expensive stationery implies she doesn't always use such high-quality materials. This suggests an effort to make her letters more special for certain recipients, but not a regular habit overall.",NA,"high"
"7",6,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,13,3,"nan",1,"50% of the time",50,"The text states that Adam ""walked to the bus stop"" on this particular day, but it does not provide information about his usual behavior. However, since he mentions walking to the bus stop as if it's notable, I assume that he usually drives or is dropped off at the bus stop instead of walking there.",NA,"high"
"8",7,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,13,5,"nan",1,"50% of the time or less",50,"The fact that Adam mentioned he ""barely had room to stand"" on the bus suggests that it was unusually crowded and may not always be the case. He might sometimes walk to work instead, but this is not explicitly stated in the context provided.",NA,"high"
"9",8,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,14,3,"AI",1,"100% of the time",100,"The fact that Esther mentioned trying something on indicates that it is not a common occurrence. If she always tried things on while shopping for clothes, it would not be worth mentioning to George.",NA,"high"
"10",9,"2024-06-26_20-22_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_100_strongCertain_fr","mixtral","few_shot",0.6,14,5,"AI",1,"50% of the time",50,"The statement made by Esther is about coming across a big sale and not trying anything on. Therefore, it's unclear how often she actually tries things on while shopping with her friends. However, based on common behavior during clothes shopping, it can be assumed that she does try items on half of the time.",NA,"high"
