;;llama;mixtral;gpt-4;gpt-3.5
atyp;noutt_concise;4.166666667;0;0;0
atyp;noutt_elab;8.333333333;0;0;0
atyp;utt_concise;12.5;0;0;0
no_atyp;normal;8.333333333;0;0;0
no_atyp;reinforced-utt;8.333333333;4.166666667;8.333333333;12.5
no_atyp;reinforced-utt+sk;8.333333333;4.166666667;20.83333333;4.166666667
no_atyp;sk;33.33333333;83.33333333;58.33333333;79.16666667
unclear;hallucinated-facts;4.166666667;0;0;0
unclear;incorrect-reasoning;8.333333333;0;0;0
unclear;other;4.166666667;4.166666667;0;0
unclear;not-sure;0;4.166666667;4.166666667;0
atyp;utt_elab;0;0;4.166666667;4.166666667
unclear;atyp-reject;0;0;4.166666667;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;atyp;utt_elab;NA;1;24
;no_atyp;reinforced-utt;NA;3;24
;no_atyp;sk;reinforced-utt;1;24
;no_atyp;sk;NA;19;24
