"";"model";"anno_level1";"anno_level2_1";"anno_level2_2";"n";"count";"perc"
"1";"gpt-3.5-turbo";"atyp";"utt_concise";NA;1;24;4,16666666666667
"2";"gpt-3.5-turbo";"no_atyp";"reinforced-utt";NA;4;24;16,6666666666667
"3";"gpt-3.5-turbo";"no_atyp";"sk";"reinforced-utt";4;24;16,6666666666667
"4";"gpt-3.5-turbo";"no_atyp";"sk";NA;14;24;58,3333333333333
"5";"gpt-3.5-turbo";"unclear";"other";NA;1;24;4,16666666666667
"6";"gpt-4";"no_atyp";"normal";NA;3;24;12,5
"7";"gpt-4";"no_atyp";"reinforced-utt";"sk";1;24;4,16666666666667
"8";"gpt-4";"no_atyp";"reinforced-utt";NA;5;24;20,8333333333333
"9";"gpt-4";"no_atyp";"sk";"reinforced-utt";6;24;25
"10";"gpt-4";"no_atyp";"sk";NA;9;24;37,5
"11";"llama3_instruct";"atyp";"noutt_concise";NA;1;24;4,16666666666667
"12";"llama3_instruct";"atyp";"noutt_elab";NA;1;24;4,16666666666667
"13";"llama3_instruct";"no_atyp";"normal";NA;4;24;16,6666666666667
"14";"llama3_instruct";"no_atyp";"reinforced-utt";"sk";1;24;4,16666666666667
"15";"llama3_instruct";"no_atyp";"reinforced-utt";NA;9;24;37,5
"16";"llama3_instruct";"no_atyp";"sk";"reinforced-utt";3;24;12,5
"17";"llama3_instruct";"no_atyp";"sk";NA;4;24;16,6666666666667
"18";"llama3_instruct";"unclear";"other";NA;1;24;4,16666666666667
"19";"mixtral";"no_atyp";"reinforced-utt";"normal";1;24;4,16666666666667
"20";"mixtral";"no_atyp";"reinforced-utt";"sk";1;24;4,16666666666667
"21";"mixtral";"no_atyp";"reinforced-utt";NA;12;24;50
"22";"mixtral";"no_atyp";"sk";"reinforced-utt";1;24;4,16666666666667
"23";"mixtral";"no_atyp";"sk";NA;5;24;20,8333333333333
"24";"mixtral";"unclear";"other";NA;4;24;16,6666666666667
