,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,P
0,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,1,1,3 or 4,1,About 95% of the time,95.0,"Based on common knowledge, it's likely that John would pay for his groceries most of the time. This assumption is made because paying for goods and services is a typical behavior in everyday life, unless there was an unusual circumstance (e.g., he forgot to bring cash or had some other issue).",0.8
1,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,1,3,3 or 4 (always),1,90%,90.0,"It's common for people to pay the cashier in most stores, so it's likely that John always pays the cashier at the grocery store he frequents.",0.8
2,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,1,5,3 or 4 bags of groceries,1,80%,80.0,"Based on common knowledge, people typically pay for their purchases at a grocery store. Since John just came back from buying some apples and putting away his groceries, it's likely he paid the cashier before bringing them home.",0.6
3,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,10,1,2-4 times a week,1,80%,80.0,"As someone who pays attention to their hair and has beautiful locks, it's likely that Olivia takes good care of her hair by using shampoo regularly, especially after showering. This assumption is based on common knowledge about people with long or curly hair often being meticulous about maintaining its health and appearance.",0.8
4,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,10,3,3 or 4 times a week,1,80%,80.0,"Based on the fact that Thomas mentioned it as something Olivia was talking about, and considering how much attention she pays to her hair, I assume that shampooing is part of her regular routine.",0.7
5,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,10,5,2-4 times a week,1,70%,70.0,"Since Thomas mentioned Olivia was talking about finding some split ends, it's likely she recently washed her hair and is concerned about the damage caused by shampooing too frequently. This suggests that Olivia might not be using shampoo daily or even every other day, but rather on a schedule of at least three times a week to maintain good hair health.",0.7
6,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,11,1,3-4 times per year,1,80%,80.0,"Given that Jared takes courses at the local airfield and has free time to do so, it's likely he jumps out of a plane regularly enough for recreational purposes but not excessively frequently.",0.7
7,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,11,3,3-4,1,Almost always (90%),90.0,"As people typically take skydiving courses to learn the skills and gain experience before jumping out of planes, it's likely that Jared jumps out of a plane during his training sessions, given he was in a course with Stella last week.",0.8
8,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,11,5,3-4,1,Often (75%-100%),87.5,"Based on the context that Jared takes skydiving courses at his free time and is described as being ""the first to jump"", it's likely he enjoys this activity and jumps out of a plane frequently when going skydiving, possibly even multiple times during one course or session.",0.9
9,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,12,1,3 or 4,1,Usually within a day or two (around 70%),70.0,"Given that Amy wrote the letter to her cousin Michelle around holidays and mentioned talking about it with Steve today, I assume she would likely mail the letter soon after writing it, possibly even on the same day or tomorrow at most, as holiday correspondence often has a sense of urgency.",0.7
10,2024-05-27_14-32_llama3_instruct_t-0.6_calib_zero_shot_fr_calibration,llama3_instruct,calib_zero_shot,0.6,12,3,3-4,1,80%,80.0,"Based on the fact that Amy wrote the letter to her cousin Michelle and talked about it with Steve, I assume she takes the time to mail important letters like this one, especially if they're related to holidays or special occasions.",0.8
