,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,failsafe
0,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,1,3,AI,1,100% of the time,100,"It is common practice for customers to pay the cashier at a grocery store, so it can be assumed that John always does this. The fact that Susan mentions specifically that he paid the cashier suggests that this is an unusual or notable part of his shopping experience, implying that paying the cashier is something he normally does.",
1,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,1,5,AI,1,100% of the time,100,"It is common courtesy and a normal part of shopping to pay for groceries at the checkout counter, so it's likely that John always pays the cashier.",
2,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,11,3,AI,1,100% of the time,100,"Since Jared is taking a skydiving course and Stella explicitly mentions that he ""jumped out of the plane"", it's reasonable to assume that this is what they do during their training, making it likely that Jared jumps out of the plane every single time.",
3,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,11,5,AI,1,100% of the time,100,"As someone who takes skydiving courses and is described as being ""the first to jump"" in his group, it's likely that Jared jumps out of a plane every single time he goes skydiving.",
4,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,12,3,AI,1,100% of the time,100,"When someone takes the effort to write a thoughtful note or letter, they typically intend for the recipient to receive it. Given that Amy wrote the letter and mentioned mailing it to her cousin Michelle, it is likely that she always follows through with sending the letters after writing them.",
5,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,12,5,AI,1,100% of the time,100,"People typically mail letters once they're written, and there's no reason to assume that Amy is an exception. The fact that she used expensive stationery suggests that the letter was intended for someone special, making it likely that she would take the extra step to send it through the mail rather than just leaving it unread in her room.",
6,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,13,3,AI,1,100% of the time,100,"The context states that ""the stop is a few blocks from his house"", implying that walking to the bus stop would be a normal and reasonable thing for Adam to do. Additionally, Adam explicitly says he walked to the bus stop in this specific instance, which suggests it's something he commonly does.",
7,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,13,5,AI,1,0% of the time,0,"Since Adam mentioned he was struggling to find space standing on the bus, it's likely that this is not an unusual occurrence for him. Given his statement about barely having room to stand, it's reasonable to assume that he usually takes the bus and doesn't walk most mornings.",
8,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,14,3,AI,1,100% of the time,100,"When people go clothes shopping with friends or alone, trying things on is a common and enjoyable part of the experience. It's likely that Esther always tries something on when she goes clothes shopping, as it seems to be an important aspect of her social activity with friends.",
9,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,14,5,AI,1,100% of the time,100,"When people go clothes shopping with friends or alone, it's common for them to try things on to get a better fit and see how they look. Esther likely tried something on because she was excited about finding a big sale, which suggests that trying things on is part of her usual behavior when going clothes shopping.",
10,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,15,3,AI,1,100% of the time,100,"Boiling is a standard cooking method for most types of pasta, and it's unlikely that someone would make an exception unless they're using a different type of pasta or cooking technique. Given Nick was preparing pasta in advance, boiling seems like the logical choice to preserve its texture and quality.",
11,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,15,5,AI,1,100% of the time,100,"Boiling pasta in water is a fundamental step in cooking most types of pasta. It's safe to assume that since Nick was preparing pasta for his roommates' party and mentioned adding vegetables, he would have boiled it first before combining with other ingredients.",
12,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,16,3,AI,1,100% of the time,100,"When baking, it is standard procedure to preheat the oven. It's unlikely that someone would bake without first ensuring their oven was at the correct temperature. The fact that Grace mentioned ""preheating"" specifically suggests she follows this common practice in her baking routine.",
13,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,16,5,AI,1,100% of the time,100,"When baking, it is crucial to pre-heat the oven. This step ensures that the cake cooks evenly and at the right temperature. Given Grace's enthusiasm for baking and her attention to detail in adding chocolate chips, it can be assumed that she always pre-heats the oven before baking a cake.",
14,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,17,3,AI,1,100% of the time,100,"Given that Greg frequently travels by air and mentioned bringing his cell phone on board specifically for this trip, it is reasonable to assume that he always carries his cell phone with him when flying.",
15,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,17,5,AI,1,100% of the time,100,"Given that Greg frequently travels by air and is an adult in this century, it's likely that he always brings his cell phone onboard to stay connected, check emails, or use apps during flights.",
16,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,18,3,AI,1,100% of the time,100,"The context states that Sandy ""usually cuts her own hair"", which implies a consistent behavior. Additionally, she explicitly mentions using scissors in this specific instance, suggesting it's part of her regular routine for cutting her hair.",
17,2024-05-13_16-40_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_Low,llama3_instruct,few_shot,0.6,18,5,AI,1,100% of the time,100,"Since Sandy mentioned she ""cut"" her own hair and specifically said she used to cut it shorter than intended, it's likely that she always uses scissors when cutting her hair.",
